Course,Unique,"When I work in a group, I do higher quality work.","When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I prefer when one student regularly takes on a leadership role.,I prefer when the leadership role rotates between students.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I prefer to take on tasks that will help me better learn the material.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things.",My group did higher quality work when my group members worked on tasks together.,My group did higher quality work when group members worked on different tasks at the same time.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can change.,"You can learn new things, but you can’t really change your basic physics intelligence.",Gender,Gender - Text,Raceethnicity,Raceethnicity - Text,Native,Asian,Asian - Text,Black,Black - Text,Latino,Latino - Text,MiddleEast,MiddleEast - Text,Pacific,Pacific - Text,White,White - Text,Education,Education - Text,Intervention Number,Intervention
PHY105N,57160,0.5,0.5,-1.0,0.5,0.5,-1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.5,1.0,-1.0,-1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.6,-0.6,0.2,Female,,White,,,,,,,,,,,,,"German,Irish",,Bachelor’s degree,,2.0,Collaborative Comparison
PHY105N,57160,0.5,0.5,-1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.5,-1.0,0.5,1.0,0.5,-1.0,-1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,Female,,Black or African American,,,,,African American,,,,,,,,,,Some college but no degree,,2.0,Collaborative Comparison
PHY105N,57160,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.0,-1.0,0.5,-1.0,0.5,1.0,0.0,0.0,0.5,1.0,0.5,1.0,-1.0,0.5,0.5,0.2,0.2,0.2,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105N,57160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,Female,,"Hispanic, Latino, or Spanish,White",,,,,,,Mexican or Mexican American,,,,,,"Some other White race or ethnicity
Print, for example, Scottish, Norwegian, Dutch, etc.</spa",Belgian,Master’s degree or above,,2.0,Collaborative Comparison
PHY105N,57160,0.5,1.0,0.5,0.5,0.5,-1.0,0.5,-1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,-1.0,0.5,0.5,-1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.6,0.6,0.6,Male,,White,,,,,,,,,,,,,Irish,,High school,,2.0,Collaborative Comparison
PHY105N,57160,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,Male,,Asian,,,Korean,,,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105N,57160,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.2,-1.0,-0.2,Male,,"Asian,White",,,Korean,,,,,,,,,,English,,Bachelor’s degree,,2.0,Collaborative Comparison
PHY105N,57160,0.5,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,Female,,Black or African American,,,,,African American,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105M,56965,0.5,1.0,0.5,0.0,1.0,-1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,-1.0,0.0,1.0,-1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.5,-1.0,0.6,0.6,0.6,Female,,Asian,,,Chinese,,,,,,,,,,,,Master’s degree or above,,0.0,Control
PHY105M,56965,0.5,0.5,1.0,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6,1.0,Female,,Asian,,,Vietnamese,,,,,,,,,,,,Bachelor’s degree,,0.0,Control
PHY105M,56965,0.5,0.0,0.0,1.0,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,1.0,-1.0,1.0,0.5,-1.0,0.5,0.5,1.0,0.0,1.0,-1.0,0.5,0.0,0.5,0.0,0.6,0.6,0.6,Male,,Asian,,,Vietnamese,,,,,,,,,,,,Some college but no degree,,0.0,Control
PHY105M,56965,0.5,0.0,0.5,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.5,0.5,0.5,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.5,0.5,1.0,-1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,Male,,White,,,,,,,,,,,,,German,,Master’s degree or above,,0.0,Control
PHY105M,56965,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.5,-1.0,0.5,0.5,1.0,0.5,-1.0,-1.0,0.5,-1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.6,0.6,0.6,Female,,Prefer not to disclose,,,,,,,,,,,,,,,Prefer not to answer,,0.0,Control
PHY105M,56965,0.0,0.5,0.0,0.5,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.2,0.2,0.2,Non-binary,,White,,,,,,,,,,,,,Italian,,Bachelor’s degree,,0.0,Control
PHY105M,56965,0.5,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.5,-1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.6,0.2,0.2,Female,,Black or African American,,,,,Nigerian,,,,,,,,,,Some college but no degree,,0.0,Control
PHY105M,56965,0.0,0.5,0.5,0.5,1.0,-1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.6,0.6,0.6,Female,,White,,,,,,,,,,,,,"German,Irish,English",,Bachelor’s degree,,0.0,Control
PHY105M,56965,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,Female,,"Hispanic, Latino, or Spanish,White",,,,,,,Mexican or Mexican American,,,,,,Polish,,Master’s degree or above,,0.0,Control
PHY105M,56965,0.5,0.0,-1.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,-1.0,-1.0,-1.0,-1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.6,0.6,Non-binary,,"Hispanic, Latino, or Spanish",,,,,,,"Some other Hispanic, Latino, or Spanish race or ethnicity
Print, for example, Guatemalan, Spaniard, Ecuadorian, etc.",,,,,,,,Some college but no degree,,0.0,Control
PHY105M,56965,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,-1.0,-1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-1.0,1.0,0.5,0.6,0.6,0.6,Female,,White,,,,,,,,,,,,,,,Master’s degree or above,,0.0,Control
PHY105M,56965,0.5,0.0,0.0,0.5,0.5,-1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.6,Male,,"Black or African American,Hispanic, Latino, or Spanish",,,,,African American,,Puerto Rican,,,,,,,,Bachelor’s degree,,0.0,Control
PHY105M,56965,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-0.6,1.0,Male,,Asian,,,Asian Indian,,,,,,,,,,,,Bachelor’s degree,,0.0,Control
PHY105M,56965,-1.0,1.0,1.0,-1.0,-1.0,0.5,0.5,-1.0,0.5,1.0,-1.0,0.0,1.0,-1.0,-1.0,0.5,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,0.5,0.5,-1.0,-1.0,1.0,-1.0,0.6,0.6,0.6,Male,,Asian,,,Vietnamese,,,,,,,,,,,,High school,,0.0,Control
PHY105M,56965,0.5,-1.0,-1.0,0.5,1.0,-1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,-1.0,1.0,-1.0,-1.0,0.5,1.0,1.0,0.5,1.0,-1.0,1.0,0.5,0.5,0.0,0.6,-0.6,0.6,Female,,Black or African American,,,,,Ethiopian,,,,,,,,,,Master’s degree or above,,0.0,Control
PHY105M,57000,0.0,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.6,0.6,0.6,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Bachelor’s degree,,2.0,Collaborative Comparison
PHY105M,57000,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.2,0.2,0.2,Female,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Associate's or technical degree,,2.0,Collaborative Comparison
PHY105M,57000,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105M,57000,0.0,0.0,0.0,0.5,0.5,-1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.5,-1.0,0.5,-1.0,-1.0,0.5,0.0,0.5,0.0,0.0,-1.0,0.5,-1.0,0.0,0.0,1.0,1.0,0.2,Female,,Asian,,,Chinese,,,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105M,57000,1.0,0.0,-1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,-1.0,0.5,1.0,0.0,0.5,-1.0,0.0,0.5,0.5,1.0,0.0,1.0,-1.0,0.5,-1.0,1.0,0.0,0.6,0.6,0.6,Female,,Black or African American,,,,,Nigerian,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105M,57000,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,-1.0,0.0,0.0,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.0,0.0,-1.0,0.6,-0.6,Female,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Bachelor’s degree,,2.0,Collaborative Comparison
PHY105M,57000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,Male,,Asian,,,Asian Indian,,,,,,,,,,,,Bachelor’s degree,,2.0,Collaborative Comparison
PHY105M,57000,0.5,0.5,-1.0,1.0,1.0,-1.0,1.0,0.5,1.0,0.5,0.5,0.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,-1.0,1.0,Female,,"American Indian or Alaska Native,White",,pueblo ,,,,,,,,,,,English,,Bachelor’s degree,,2.0,Collaborative Comparison
PHY105M,57000,0.0,0.5,-1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,-1.0,0.5,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0,0.0,0.5,0.6,-0.2,-0.2,Female,,"Hispanic, Latino, or Spanish",,,,,,,Cuban,,,,,,,,I'm not sure,,2.0,Collaborative Comparison
PHY105M,57000,0.0,1.0,0.5,-1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,-1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.6,0.6,0.6,Male,,Asian,,,Chinese,,,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105M,57000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,Prefer not to disclose,,White,,,,,,,,,,,,,,,Prefer not to answer,,2.0,Collaborative Comparison
PHY105M,57000,0.5,-1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.6,0.2,-0.2,Male,,Asian,,,Chinese,,,,,,,,,,,,High school,,2.0,Collaborative Comparison
PHY105M,57000,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.2,-0.2,0.2,Female,,White,,,,,,,,,,,,,"German,English",,Some college but no degree,,2.0,Collaborative Comparison
PHY105M,57000,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.5,0.5,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.6,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105M,57000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,Prefer not to disclose,,Prefer not to disclose,,,,,,,,,,,,,,,High school,,2.0,Collaborative Comparison
PHY105M,57000,1.0,0.5,-1.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,-1.0,-1.0,-1.0,1.0,-1.0,0.5,0.0,0.5,0.5,1.0,-1.0,1.0,-1.0,0.5,0.5,1.0,0.6,1.0,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,,2.0,Collaborative Comparison
PHY105N,57165,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,-1.0,0.5,1.0,0.0,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,-0.2,Male,,Prefer not to disclose,,,,,,,,,,,,,,,Prefer not to answer,,1.0,Partner Agreements
PHY105N,57165,0.0,0.0,0.5,0.5,0.0,-1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,-1.0,-1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,-1.0,0.5,0.5,0.0,0.0,0.2,0.2,0.2,Female,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",Taiwanese,,,,,,,,,,,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57165,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,-1.0,-1.0,-1.0,-1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.5,0.6,0.6,0.6,Female,,White,,,,,,,,,,,,,Italian,,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57165,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,0.5,1.0,0.5,0.0,0.0,-1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,Male,,White,,,,,,,,,,,,,"German,French,Some other White race or ethnicity
Print, for example, Scottish, Norwegian, Dutch, etc.</spa", Czech,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57165,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.6,0.6,Female,,Asian,,,Vietnamese,,,,,,,,,,,,Bachelor’s degree,,1.0,Partner Agreements
PHY105N,57165,0.5,0.5,0.5,0.5,0.5,-1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,-1.0,0.5,0.5,0.5,0.5,0.6,-0.6,0.6,Female,,Asian,,,Chinese,,,,,,,,,,,,Bachelor’s degree,,1.0,Partner Agreements
PHY105N,57165,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,-0.6,0.6,Female,,Asian,,,Vietnamese,,,,,,,,,,,,Bachelor’s degree,,1.0,Partner Agreements
PHY105N,57165,0.5,0.0,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.6,Female,,Asian,,,Chinese,,,,,,,,,,,,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57165,0.5,0.0,0.5,0.5,1.0,-1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,-1.0,-1.0,-1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.2,0.2,0.2,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57165,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.2,Female,,Asian,,,Chinese,,,,,,,,,,,,Master’s degree or above,,1.0,Partner Agreements
PHY105N,57165,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,-1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.6,Male,,White,,,,,,,,,,,,,German,,Bachelor’s degree,,1.0,Partner Agreements
PHY105N,57165,0.0,0.0,0.5,1.0,0.5,-1.0,1.0,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,0.5,0.5,-1.0,0.0,-1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,-0.2,0.2,-0.6,Male,,White,,,,,,,,,,,,,German,,Some college but no degree,,1.0,Partner Agreements
PHY105N,57165,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.2,0.2,0.2,Prefer not to disclose,,Prefer not to disclose,,,,,,,,,,,,,,,Bachelor’s degree,,1.0,Partner Agreements
PHY105N,57165,0.5,0.5,-1.0,0.5,1.0,-1.0,0.5,0.5,1.0,0.5,0.5,-1.0,0.5,-1.0,0.0,-1.0,-1.0,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.2,0.6,Female,,White,,,,,,,,,,,,,English,,Bachelor’s degree,,1.0,Partner Agreements
PHY105M,56890,0.5,0.5,-1.0,1.0,0.5,-1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,-1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.6,0.6,0.6,Female,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",Bangladeshi,,,,,,,,,,,Master’s degree or above,,0.0,Control
PHY105M,56890,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,-1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,-1.0,0.5,0.5,0.6,0.6,0.6,Female,,White,,,,,,,,,,,,,Irish,,Bachelor’s degree,,0.0,Control
PHY105M,56890,0.0,-1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,-1.0,0.5,-1.0,-1.0,1.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.6,0.6,0.6,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,,0.0,Control
PHY105M,56890,0.5,0.5,0.5,0.5,0.5,-1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,-1.0,-1.0,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,1.0,0.0,1.0,0.6,1.0,Female,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Some college but no degree,,0.0,Control
PHY105M,56890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,Male,,Asian,,,Chinese,,,,,,,,,,,,Master’s degree or above,,0.0,Control
PHY105M,56890,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.6,0.6,0.6,Female,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",Thai,,,,,,,,,,,Master’s degree or above,,0.0,Control
PHY105M,56890,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,1.0,-0.2,0.2,-0.2,Female,,White,,,,,,,,,,,,,German,,Master’s degree or above,,0.0,Control
PHY105M,56890,0.0,0.0,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,1.0,-0.2,0.6,-0.2,Male,,"Hispanic, Latino, or Spanish,White",,,,,,,Mexican or Mexican American,,,,,,Italian,,Master’s degree or above,,0.0,Control
PHY105M,56890,-1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.6,0.2,0.2,Female,,White,,,,,,,,,,,,,"German,English",,Master’s degree or above,,0.0,Control
PHY105M,56890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.6,0.2,0.6,Female,,Asian,,,Korean,,,,,,,,,,,,Bachelor’s degree,,0.0,Control
PHY105M,56890,-1.0,-1.0,-1.0,0.5,1.0,-1.0,0.5,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,0.5,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.5,0.5,1.0,-1.0,0.5,-1.0,1.0,0.5,1.0,1.0,1.0,Female,,Middle Eastern or North African,,,,,,,,,Iranian,,,,,,Master’s degree or above,,0.0,Control
PHY105M,56890,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,-1.0,1.0,0.5,1.0,0.6,1.0,Female,,"Hispanic, Latino, or Spanish,White",,,,,,,Mexican or Mexican American,,,,,,Irish,,Master’s degree or above,,0.0,Control
PHY105M,56890,0.5,0.0,0.5,1.0,1.0,-1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,-1.0,0.5,-1.0,0.0,0.5,-1.0,1.0,1.0,1.0,-1.0,0.5,-1.0,0.5,1.0,1.0,0.6,0.2,Female,,White,,,,,,,,,,,,,Italian,,Master’s degree or above,,0.0,Control
PHY105M,56890,0.5,0.5,-1.0,0.0,0.5,-1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,-1.0,0.5,0.5,1.0,1.0,1.0,Male,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,,0.0,Control
PHY105M,56890,1.0,0.0,-1.0,1.0,0.5,-1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.5,-1.0,-1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,-1.0,0.5,1.0,0.6,1.0,0.6,Female,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,High school,,0.0,Control
