StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q2.2,Q2.3,Q2.4,Q2.6,Q2.7,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q7.2,Q7.3,Q7.4,Q7.5,Q7.6,Q7.7,Q8.2,Q8.3,Q8.4,Q9.2,Q9.2_4_TEXT,Q9.3,Q9.3_7_TEXT,Q9.3a,Q9.3b,Q9.3b_10_TEXT,Q9.3c,Q9.3c_10_TEXT,Q9.3d,Q9.3d_10_TEXT,Q9.3e,Q9.3e_10_TEXT,Q9.3f,Q9.3f_10_TEXT,Q9.3g,Q9.3g_10_TEXT,Q9.4,Q9.4_4_TEXT
11/29/2022 20:51,11/29/2022 20:54,IP Address,100,141,TRUE,11/29/2022 20:54,R_1rPp1LhNNzuUxNw,anonymous,EN,PHY105N,57185,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,Somewhat agree,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Male,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
11/29/2022 20:56,11/29/2022 20:59,IP Address,100,196,TRUE,11/29/2022 20:59,R_3NX9PXitJV1fPph,anonymous,EN,PHY105M,57010,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Female,,Middle Eastern or North African,,,,,,,,,Egyptian,,,,,,Bachelor’s degree,
11/29/2022 20:59,11/29/2022 21:05,IP Address,100,328,TRUE,11/29/2022 21:05,R_30vIMhhGvEY5McH,anonymous,EN,PHY105M,56900,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,,Strongly disagree,Strongly agree,Strongly disagree,,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Female,,"Black or African American,Hispanic, Latino, or Spanish,White",,,,,African American,,Mexican or Mexican American,,,,,,"Irish,English",,Master’s degree or above,
11/29/2022 21:04,11/29/2022 21:08,IP Address,100,244,TRUE,11/29/2022 21:08,R_VQINd9ZTMAhp8pb,anonymous,EN,PHY105M,56895,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,Strongly agree,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Somewhat disagree,Male,,Middle Eastern or North African,,,,,,,,,"Some other Middle Eastern or North African race or ethnicity
Print, for example, Algerian, Iraqi, Kurdish, etc.</spa",Jordanian,,,,,Bachelor’s degree,
11/29/2022 21:12,11/29/2022 21:18,IP Address,100,324,TRUE,11/29/2022 21:18,R_11WLLG7tFsWl3WB,anonymous,EN,PHY105M,57022,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,,Strongly agree,Neither agree nor disagree,,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Male,,Asian,,,Chinese,,,,,,,,,,,,Master’s degree or above,
11/29/2022 21:21,11/29/2022 21:23,IP Address,100,125,TRUE,11/29/2022 21:23,R_27BVaYjiBieUXR7,anonymous,EN,PHY105M,56955,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,Neither agree nor disagree,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
11/29/2022 21:46,11/29/2022 21:50,IP Address,100,238,TRUE,11/29/2022 21:50,R_0DSwLkWtXUFBc2J,anonymous,EN,PHY105N,57170,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,,Strongly agree,Somewhat agree,,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Disagree,Female,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",nepali,,,,,,,,,,,High school,
11/29/2022 22:06,11/29/2022 22:12,IP Address,100,368,TRUE,11/29/2022 22:12,R_1GJp1Ri7WtOHw6n,anonymous,EN,PHY105M,57024,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Somewhat disagree,Female,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Associate's or technical degree,
11/29/2022 22:25,11/29/2022 22:29,IP Address,100,233,TRUE,11/29/2022 22:29,R_XLqD8Qy6XCyIA93,anonymous,EN,PHY105N,57110,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Male,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",Pakistani,,,,,,,,,,,Some college but no degree,
11/29/2022 22:25,11/29/2022 22:30,IP Address,100,248,TRUE,11/29/2022 22:30,R_3QGjrtEexIynZYA,anonymous,EN,PHY105N,57125,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,,Somewhat disagree,Somewhat agree,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Disagree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
11/29/2022 22:49,11/29/2022 22:54,IP Address,100,284,TRUE,11/29/2022 22:54,R_12lgIFL8drVZsT2,anonymous,EN,PHY105M,56885,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,Strongly disagree,Strongly agree,,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Female,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",Indian,,,,,,,,,,,Master’s degree or above,
11/29/2022 22:52,11/29/2022 23:00,IP Address,100,458,TRUE,11/29/2022 23:00,R_1daB2w6mxNy6Gqv,anonymous,EN,PHY105N,57125,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Neither agree nor disagree,,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Male,,White,,,,,,,,,,,,,German,,Master’s degree or above,
11/29/2022 23:00,11/29/2022 23:05,IP Address,100,308,TRUE,11/29/2022 23:05,R_yEehkIKy6D0J70J,anonymous,EN,PHY105N,57120,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,Somewhat agree,Somewhat agree,,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Male,,Black or African American,,,,,"Ethiopian,Some other Black or African American race or ethnicity
Print, for example, Ghanaian, South African, Barbadian, etc.",Eritrean,,,,,,,,,High school,
11/29/2022 23:14,11/29/2022 23:19,IP Address,100,272,TRUE,11/29/2022 23:19,R_3gRcpdiICQWyUCb,anonymous,EN,PHY105M,57019,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,,Strongly agree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Female,,Black or African American,,,,,Nigerian,,,,,,,,,,Master’s degree or above,
11/29/2022 23:28,11/29/2022 23:31,IP Address,100,202,TRUE,11/29/2022 23:31,R_1g7Qggp5fEk24Or,anonymous,EN,PHY105M,57025,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,Somewhat agree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Disagree,Male,,White,,,,,,,,,,,,,German,,Master’s degree or above,
11/30/2022 0:05,11/30/2022 0:07,IP Address,100,143,TRUE,11/30/2022 0:07,R_A4jy7hgDwZc0Xcd,anonymous,EN,PHY105M,56940,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat agree,Somewhat agree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Male,,Asian,,,Vietnamese,,,,,,,,,,,,Associate's or technical degree,
11/30/2022 2:07,11/30/2022 2:12,IP Address,100,268,TRUE,11/30/2022 2:12,R_3foE6gjfuWhjrrK,anonymous,EN,PHY105N,57055,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,,Strongly disagree,Strongly agree,Somewhat disagree,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Male,,White,,,,,,,,,,,,,"Irish,English",,Master’s degree or above,
11/30/2022 6:43,11/30/2022 6:46,IP Address,100,195,TRUE,11/30/2022 6:46,R_2e81UGUxvEztfbV,anonymous,EN,PHY105M,56925,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Female,,White,,,,,,,,,,,,,German,,Bachelor’s degree,
11/30/2022 7:05,11/30/2022 7:10,IP Address,100,310,TRUE,11/30/2022 7:10,R_Xk86Yb9Mb7RVPCp,anonymous,EN,PHY105M,57019,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,,Strongly disagree,Neither agree nor disagree,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Disagree,Female,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",Pakistani ,,,,,,,,,,,Master’s degree or above,
11/30/2022 8:10,11/30/2022 8:14,IP Address,100,271,TRUE,11/30/2022 8:14,R_3hu6SZC6A3WXJxp,anonymous,EN,PHY105M,56895,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree,Neither agree nor disagree,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Female,,White,,,,,,,,,,,,,English,,Master’s degree or above,
11/30/2022 8:37,11/30/2022 8:45,IP Address,100,434,TRUE,11/30/2022 8:45,R_1NfCCFq4sb8RsUm,anonymous,EN,PHY105N,57200,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,,Strongly disagree,Strongly agree,,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Female,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Other,Elementary 
11/30/2022 8:51,11/30/2022 8:57,IP Address,100,353,TRUE,11/30/2022 8:57,R_10wkxaz3X6MnHO6,anonymous,EN,PHY105N,57180,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,,Strongly disagree,Somewhat agree,Strongly agree,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Female,,Asian,,,Vietnamese,,,,,,,,,,,,Master’s degree or above,
11/30/2022 9:14,11/30/2022 9:17,IP Address,100,193,TRUE,11/30/2022 9:17,R_qWO36dZ6VOb8weJ,anonymous,EN,PHY105N,57060,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,Somewhat agree,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Male,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",Pakistani,,,,,,,,,,,Associate's or technical degree,
11/30/2022 9:18,11/30/2022 9:21,IP Address,100,164,TRUE,11/30/2022 9:21,R_ZwTq5l0b86KccNP,anonymous,EN,PHY105M,56890,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,,Strongly disagree,Somewhat agree,Neither agree nor disagree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Female,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Some college but no degree,
11/30/2022 9:24,11/30/2022 9:27,IP Address,100,181,TRUE,11/30/2022 9:27,R_1pKUasGW3MwszGv,anonymous,EN,PHY105M,56940,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Strongly agree,Strongly disagree,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Master’s degree or above,
11/30/2022 9:46,11/30/2022 9:59,IP Address,100,784,TRUE,11/30/2022 9:59,R_cUZOQMEECj5yRhL,anonymous,EN,PHY105M,57020,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Somewhat disagree,,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Non-binary,,White,,,,,,,,,,,,,English,,Master’s degree or above,
11/30/2022 9:57,11/30/2022 10:00,IP Address,100,196,TRUE,11/30/2022 10:00,R_1EiFLxUkGY8ARwL,anonymous,EN,PHY105N,57190,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,,Strongly disagree,Strongly agree,,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Disagree,Female,,White,,,,,,,,,,,,,German,,Master’s degree or above,
11/30/2022 10:18,11/30/2022 10:22,IP Address,100,264,TRUE,11/30/2022 10:22,R_31SDC5v7SYYRpRD,anonymous,EN,PHY105N,57130,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,Somewhat disagree,Somewhat agree,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Agree,Somewhat disagree,Female,,Asian,,,Asian Indian,,,,,,,,,,,,Bachelor’s degree,
11/30/2022 10:33,11/30/2022 10:38,IP Address,100,299,TRUE,11/30/2022 10:38,R_UYg3nKjQLlACksV,anonymous,EN,PHY105M,56815,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Somewhat agree,Somewhat disagree,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Disagree,Female,,White,,,,,,,,,,,,,English,,Associate's or technical degree,
11/30/2022 10:36,11/30/2022 10:43,IP Address,100,373,TRUE,11/30/2022 10:43,R_3ltzWt2Q4vQxGfC,anonymous,EN,PHY105M,57010,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree,Neither agree nor disagree,,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat disagree,Male,,Asian,,,Asian Indian,,,,,,,,,,,,Bachelor’s degree,
11/30/2022 11:00,11/30/2022 11:04,IP Address,100,259,TRUE,11/30/2022 11:04,R_DzTksHqn7E0V8Vr,anonymous,EN,PHY105M,57026,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,,Somewhat agree,Neither agree nor disagree,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Female,,Asian,,,"Some other Asian race or ethnicity
Print, for example, Pakistani, Cambodian, Hmong, etc.",Pakistani,,,,,,,,,,,Master’s degree or above,
11/30/2022 11:04,11/30/2022 11:07,IP Address,100,179,TRUE,11/30/2022 11:07,R_12GrmffqM4obrJF,anonymous,EN,PHY105M,57025,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat agree,,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Female,,"Hispanic, Latino, or Spanish",,,,,,,Mexican or Mexican American,,,,,,,,Other,Elementary
11/30/2022 11:02,11/30/2022 11:09,IP Address,100,398,TRUE,11/30/2022 11:09,R_Uhau09B3o3B54Od,anonymous,EN,PHY105N,57030,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,,Somewhat disagree,Somewhat agree,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Female,,"Hispanic, Latino, or Spanish",,,,,,,Salvadoran,,,,,,,,Other,
